nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
NumbersEvolutionsByYear,components/numbers/EvolutionsByYear.vue,0,,custom,,non
NumbersMissionsByActivities,components/numbers/MissionsByActivities.vue,0,,custom,,non
NumbersMissionsByDomaines,components/numbers/MissionsByDomaines.vue,0,,custom,,non
NumbersMissionsByOrganisations,components/numbers/MissionsByOrganisations.vue,0,,custom,,non
NumbersMissionsByPeriod,components/numbers/MissionsByPeriod.vue,0,,custom,,non
NumbersMissionsByReseaux,components/numbers/MissionsByReseaux.vue,0,,custom,,non
NumbersMissionsByStates,components/numbers/MissionsByStates.vue,0,,custom,,non
NumbersMissionsByTemplates,components/numbers/MissionsByTemplates.vue,0,,custom,,non
NumbersMissionsByTemplateTypes,components/numbers/MissionsByTemplateTypes.vue,0,,custom,,non
NumbersMissionsByTypes,components/numbers/MissionsByTypes.vue,0,,custom,,non
NumbersMissionsOutdatedByOrganisations,components/numbers/MissionsOutdatedByOrganisations.vue,0,,custom,,non
NumbersMissionsStatistics,components/numbers/MissionsStatistics.vue,0,,custom,,non
NumbersModerationMissionsStatistics,components/numbers/ModerationMissionsStatistics.vue,0,,custom,,non
NumbersModerationOrganisationsStatistics,components/numbers/ModerationOrganisationsStatistics.vue,0,,custom,,non
NumbersModerationsByDepartments,components/numbers/ModerationsByDepartments.vue,0,,custom,,non
NumbersOrganisationsByDomaines,components/numbers/OrganisationsByDomaines.vue,0,,custom,,non
NumbersOrganisationsByPeriod,components/numbers/OrganisationsByPeriod.vue,0,,custom,,non
NumbersOrganisationsByReseaux,components/numbers/OrganisationsByReseaux.vue,0,,custom,,non
NumbersOrganisationsByStates,components/numbers/OrganisationsByStates.vue,0,,custom,,non
NumbersOrganisationsByTypes,components/numbers/OrganisationsByTypes.vue,0,,custom,,non
NumbersOrganisationsStatistics,components/numbers/OrganisationsStatistics.vue,0,,custom,,non
NumbersOverviewApiEngagementEntrant,components/numbers/OverviewApiEngagementEntrant.vue,0,,custom,,non
NumbersOverviewApiEngagementEntrantDetails,components/numbers/OverviewApiEngagementEntrantDetails.vue,0,,custom,,non
NumbersOverviewApiEngagementSortant,components/numbers/OverviewApiEngagementSortant.vue,0,,custom,,non
NumbersOverviewApiEngagementSortantDetails,components/numbers/OverviewApiEngagementSortantDetails.vue,0,,custom,,non
NumbersOverviewReferents,components/numbers/OverviewReferents.vue,0,,custom,,non
NumbersOverviewResponsables,components/numbers/OverviewResponsables.vue,0,,custom,,non
NumbersParticipationsByActivities,components/numbers/ParticipationsByActivities.vue,0,,custom,,non
NumbersParticipationsByDomaines,components/numbers/ParticipationsByDomaines.vue,0,,custom,,non
NumbersParticipationsByOrganisations,components/numbers/ParticipationsByOrganisations.vue,0,,custom,,non
NumbersParticipationsByPeriod,components/numbers/ParticipationsByPeriod.vue,0,,custom,,non
NumbersParticipationsByReseaux,components/numbers/ParticipationsByReseaux.vue,0,,custom,,non
NumbersParticipationsByStates,components/numbers/ParticipationsByStates.vue,0,,custom,,non
NumbersParticipationsCanceledByBenevoles,components/numbers/ParticipationsCanceledByBenevoles.vue,0,,custom,,non
NumbersParticipationsCanceledByOrganisations,components/numbers/ParticipationsCanceledByOrganisations.vue,0,,custom,,non
NumbersParticipationsInProgressByOrganisations,components/numbers/ParticipationsInProgressByOrganisations.vue,0,,custom,,non
NumbersParticipationsRefusedByOrganisations,components/numbers/ParticipationsRefusedByOrganisations.vue,0,,custom,,non
NumbersParticipationsRefusedByResponsables,components/numbers/ParticipationsRefusedByResponsables.vue,0,,custom,,non
NumbersParticipationsStatistics,components/numbers/ParticipationsStatistics.vue,0,,custom,,non
NumbersParticipationsWaitingByOrganisations,components/numbers/ParticipationsWaitingByOrganisations.vue,0,,custom,,non
NumbersPlacesByActivities,components/numbers/PlacesByActivities.vue,0,,custom,,non
NumbersPlacesByDomaines,components/numbers/PlacesByDomaines.vue,0,,custom,,non
NumbersPlacesByMissions,components/numbers/PlacesByMissions.vue,0,,custom,,non
NumbersPlacesByOrganisations,components/numbers/PlacesByOrganisations.vue,0,,custom,,non
NumbersPlacesByReseaux,components/numbers/PlacesByReseaux.vue,0,,custom,,non
NumbersPlacesStatistics,components/numbers/PlacesStatistics.vue,0,,custom,,non
NumbersUtilisateursByActivities,components/numbers/UtilisateursByActivities.vue,0,,custom,,non
NumbersUtilisateursByAge,components/numbers/UtilisateursByAge.vue,0,,custom,,non
NumbersUtilisateursByDomaines,components/numbers/UtilisateursByDomaines.vue,0,,custom,,non
NumbersUtilisateursByPeriod,components/numbers/UtilisateursByPeriod.vue,0,,custom,,non
NumbersUtilisateursStatistics,components/numbers/UtilisateursStatistics.vue,0,,custom,,non
NumbersUtilisateursWithParticipations,components/numbers/UtilisateursWithParticipations.vue,0,,custom,,non
NuxtImgWithFallback,components/NuxtImgWithFallback.vue,1,components/section/organisation/Details.vue,custom,src | srcset | fallbackSrc | alt | class | width | height | loading,non
OrganisationBoxNotes,components/organisation/BoxNotes.vue,0,,custom,organisation,non
OrganisationModalAddResponsable,components/organisation/ModalAddResponsable.vue,0,,custom,isOpen | organisation,oui
OrganisationModalEditResponsableRole,components/organisation/ModalEditResponsableRole.vue,0,,custom,isOpen | organisation | responsable,oui
OrganisationModalPauseResponsableMissions,components/organisation/ModalPauseResponsableMissions.vue,0,,custom,isOpen | organisation | responsable,oui
OrganisationModalUnpauseResponsableMissions,components/organisation/ModalUnpauseResponsableMissions.vue,0,,custom,isOpen | organisation | responsable,oui
OrganisationPanelResponsables,components/organisation/PanelResponsables.vue,0,,custom,organisation | responsables,non
OrganisationPanelStatistics,components/organisation/PanelStatistics.vue,0,,custom,organisation,non
OrganisationResponsableListItem,components/organisation/ResponsableListItem.vue,0,,custom,organisation | responsable | totalResponsables,non
OthersListItemInfo,components/others/ListItemInfo.vue,0,,custom,label | content,non
OthersPanel,components/others/Panel.vue,0,,custom,loading | contentClass,non
OthersSidebarMenuItem,components/others/SidebarMenuItem.vue,0,,custom,,non
OthersSidebarMenuSection,components/others/SidebarMenuSection.vue,0,,custom,,non
OthersStatisticListItem,components/others/StatisticListItem.vue,0,,custom,value | formatValue | suffixValue,non
OverlayMissionPreview,components/overlay/mission-preview/index.vue,0,,custom,mission,non
OverlayMissionPreviewModal,components/overlay/mission-preview/Modal.vue,0,,custom,,oui
PagesAdminOrganisationsIdDiffusionsComponentsBoxOrganisationPublishersSummary,components/pages/admin/organisations/_id/diffusions/components/BoxOrganisationPublishersSummary.vue,0,,custom,organisation,à discuter
PagesAdminOrganisationsIdDiffusionsComponentsCategoryListItem,components/pages/admin/organisations/_id/diffusions/components/CategoryListItem.vue,0,,custom,category | publishers,non
PagesAdminOrganisationsIdDiffusionsComponentsOrganisationPublishers,components/pages/admin/organisations/_id/diffusions/components/OrganisationPublishers.vue,0,,custom,organisationId,non
PagesAdminOrganisationsIdDiffusionsComponentsPublisherListItem,components/pages/admin/organisations/_id/diffusions/components/PublisherListItem.vue,0,,custom,publisher,non
PagesHomepageComponentsBlocActeursAssociations,components/pages/homepage/components/BlocActeursAssociations.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocActeursCollectivites,components/pages/homepage/components/BlocActeursCollectivites.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocActeursEngagement,components/pages/homepage/components/BlocActeursEngagement.vue,0,,custom,,non
PagesHomepageComponentsBlocActivities,components/pages/homepage/components/BlocActivities.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocActualitesEngagement,components/pages/homepage/components/BlocActualitesEngagement.vue,0,,custom,year | isLogged,non
PagesHomepageComponentsBlocBanner,components/pages/homepage/components/BlocBanner.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocCaDevraitVousPlaire,components/pages/homepage/components/BlocCaDevraitVousPlaire.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocCommunaute,components/pages/homepage/components/BlocCommunaute.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocFaq,components/pages/homepage/components/BlocFaq.vue,0,,custom,,non
PagesHomepageComponentsBlocFresqueBenevolat,components/pages/homepage/components/BlocFresqueBenevolat.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocInscriptionBenevole,components/pages/homepage/components/BlocInscriptionBenevole.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocInscriptionResponsable,components/pages/homepage/components/BlocInscriptionResponsable.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocMissionsCourtes,components/pages/homepage/components/BlocMissionsCourtes.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocOrganisationsAroundMe,components/pages/homepage/components/BlocOrganisationsAroundMe.vue,0,,custom,isLogged,non
PagesHomepageComponentsBlocProfileActivities,components/pages/homepage/components/BlocProfileActivities.vue,0,,custom,,non
PagesHomepageComponentsBlocTemoignages,components/pages/homepage/components/BlocTemoignages.vue,0,,custom,,non
PagesHomepageComponentsBlocVolunteeringArgumentsForMinors,components/pages/homepage/components/BlocVolunteeringArgumentsForMinors.vue,0,,custom,containerClass | hideCta,non
PendingActionsMissionBoxOpenToMinorsCompliance,components/pending-actions/mission/BoxOpenToMinorsCompliance.vue,0,,custom,mission | pendingAction,non
PendingActionsMission,components/pending-actions/mission/index.vue,0,,custom,mission | pendingActions | titleClass,non
ReseauPanelResponsables,components/reseau/PanelResponsables.vue,0,,custom,reseau | responsables,non
ReseauPanelStatistics,components/reseau/PanelStatistics.vue,0,,custom,reseau,non
ReseauResponsableListItem,components/reseau/ResponsableListItem.vue,0,,custom,reseau | responsable,non
SearchBadgeFilter,components/search/BadgeFilter.vue,0,,custom,isActive,oui
SearchLocalisationFilter,components/search/LocalisationFilter.vue,0,,custom,triggerData | withRadius | defaultRadius | searchPlaceholder | panelClass,non
SearchLocalisationMobileFilter,components/search/LocalisationMobileFilter.vue,0,,custom,,non
SearchLocalisationSuggestions,components/search/LocalisationSuggestions.vue,0,,custom,label,non
SearchMissionTypeFilter,components/search/MissionTypeFilter.vue,0,,custom,,non
SearchSecondarySearchFilter,components/search/SecondarySearchFilter.vue,0,,custom,,non
SectionActivityActions,components/section/activity/Actions.vue,0,,custom,activity | buttonSize,non
SectionActivityBadges,components/section/activity/Badges.vue,0,,custom,activity,oui
SectionActivityBoxInformations,components/section/activity/BoxInformations.vue,0,,custom,activity,non
SectionActivityBoxMission,components/section/activity/BoxMission.vue,0,,custom,activity | stats,non
SectionActivityBoxParticipation,components/section/activity/BoxParticipation.vue,0,,custom,activity | stats,non
SectionActivityBoxPresentation,components/section/activity/BoxPresentation.vue,0,,custom,activity,non
SectionActivityHeaderActions,components/section/activity/HeaderActions.vue,0,,custom,activity,non
SectionAdminMissionsTrending,components/section/admin/MissionsTrending.vue,0,,custom,,non
SectionAdminOrganisationsTrending,components/section/admin/OrganisationsTrending.vue,0,,custom,,non
SectionAdminPlausiblePageViews,components/section/admin/PlausiblePageViews.vue,0,,custom,title | paramsFilters,non
SectionAdminTopitoAdmins,components/section/admin/TopitoAdmins.vue,0,,custom,,non
SectionAdminTopitoReferents,components/section/admin/TopitoReferents.vue,0,,custom,,non
SectionAlgoliaFacetsActivities,components/section/AlgoliaFacetsActivities.vue,1,pages/domaines-action/[slug].vue,custom,title | searchParameters | redirectParameters,non
SectionAlgoliaFacetsCities,components/section/AlgoliaFacetsCities.vue,1,components/section/domaine/Details.vue,custom,title | searchParameters | redirectParameters,non
SectionArchivedUserOverlay,components/section/ArchivedUserOverlay.vue,0,,custom,,non
SectionBoxReferents,components/section/BoxReferents.vue,0,,custom,missionId | structureId | department | boxVariant | boxPadding,non
SectionBoxUtm,components/section/BoxUtm.vue,0,,custom,model | title | showTitle | boxVariant | boxPadding,non
SectionCurrentUserHeaderActions,components/section/current-user/HeaderActions.vue,0,,custom,title | subtitle,non
SectionDashboardBoxOperations,components/section/dashboard/BoxOperations.vue,0,,custom,,non
SectionDashboardGuideLinks,components/section/dashboard/GuideLinks.vue,0,,custom,,oui
SectionDashboardHelpCenter,components/section/dashboard/HelpCenter.vue,0,,custom,,non
SectionDashboardLePetitMot,components/section/dashboard/LePetitMot.vue,0,,custom,,non
SectionDashboardMoreNumbers,components/section/dashboard/MoreNumbers.vue,0,,custom,,non
SectionDashboardNoticeMinorsForReferents,components/section/dashboard/NoticeMinorsForReferents.vue,0,,custom,,oui
SectionDashboardNoticeMinorsForResponsables,components/section/dashboard/NoticeMinorsForResponsables.vue,0,,custom,,oui
SectionDomaineActions,components/section/domaine/Actions.vue,0,,custom,domain | buttonSize,non
SectionDomaineBadges,components/section/domaine/Badges.vue,0,,custom,domain,oui
SectionDomaineBoxInformations,components/section/domaine/BoxInformations.vue,0,,custom,domaine,non
SectionDomaineBoxMission,components/section/domaine/BoxMission.vue,0,,custom,domaine | stats,non
SectionDomaineBoxParticipation,components/section/domaine/BoxParticipation.vue,0,,custom,domaine | stats,non
SectionDomaineDetails,components/section/domaine/Details.vue,0,,custom,domaine | statistics | redirectParameters,non
SectionDomaineHeaderActions,components/section/domaine/HeaderActions.vue,0,,custom,domain,non
SectionDomainePartenaires,components/section/domaine/Partenaires.vue,1,components/section/domaine/Details.vue,custom,domaine,non
SectionDomainePresentation,components/section/domaine/Presentation.vue,0,,custom,domaine | srcSet | placesLeft | redirectParameters,non
SectionFaqParagraph,components/section/FaqParagraph.vue,1,pages/domaines-action/[slug].vue,custom,title | paragraphs,non
SectionHeaderDesktopPrimaryNavigation,components/section/header/DesktopPrimaryNavigation.vue,0,,custom,,à discuter
SectionHeaderDesktopSecondaryNavigation,components/section/header/DesktopSecondaryNavigation.vue,0,,custom,,à discuter
SectionHeaderDesktop,components/section/header/HeaderDesktop.vue,0,,custom,,non
SectionHeaderMobile,components/section/header/HeaderMobile.vue,0,,custom,,non
SectionHistory,components/section/History.vue,0,,custom,modelId | modelType,non
SectionHistoryStateChanges,components/section/HistoryStateChanges.vue,0,,custom,modelId | modelType | boxClass,non
SectionHomeBlocActivityMissions,components/section/home/BlocActivityMissions.vue,0,,custom,activity,non
SectionHomeGridActualitesBlog,components/section/home/GridActualitesBlog.vue,0,,custom,isLogged,non
SectionHomepageCommunaute,components/section/homepage/Communaute.vue,0,,custom,,non
SectionHomepageEncouragezEngagementLocal,components/section/homepage/EncouragezEngagementLocal.vue,0,,custom,,non
SectionHomepageFacilitezRecrutement,components/section/homepage/FacilitezRecrutement.vue,0,,custom,,non
SectionHomepageFaq,components/section/homepage/Faq.vue,0,,custom,,non
SectionHomepageOrganisations,components/section/homepage/Organisations.vue,0,,custom,,non
SectionHomepageRejoindreLaCommunaute,components/section/homepage/RejoindreLaCommunaute.vue,0,,custom,,non
SectionHomepageTemoignages,components/section/homepage/Temoignages.vue,0,,custom,,non
SectionInscriptionBoxItem,components/section/inscription/BoxItem.vue,0,,custom,icon | title | subtitle | as | to | linkClass,non
SectionInscriptionCarouselLogos,components/section/inscription/CarouselLogos.vue,0,,custom,,non
SectionInscriptionDsfrModalPrerequisites,components/section/inscription/DsfrModalPrerequisites.vue,0,,custom,,oui
SectionLogsBoxChanges,components/section/logs/BoxChanges.vue,0,,custom,activityLog | showAction | linkLabel | showTitle | boxVariant | boxPadding,non
SectionLogsBoxInformations,components/section/logs/BoxInformations.vue,0,,custom,activityLog | boxVariant | boxPadding,non
SectionLogsBoxJson,components/section/logs/BoxJson.vue,0,,custom,json | boxVariant | boxPadding,non
SectionLogsDisclosureActivityLogItems,components/section/logs/DisclosureActivityLogItems.vue,0,,custom,activityLog,non
SectionMissionTemplateActions,components/section/mission-template/Actions.vue,0,,custom,missionTemplate | buttonSize,non
SectionMissionTemplateBadges,components/section/mission-template/Badges.vue,0,,custom,missionTemplate,oui
SectionMissionTemplateBoxInformations,components/section/mission-template/BoxInformations.vue,0,,custom,missionTemplate,non
SectionMissionTemplateBoxMission,components/section/mission-template/BoxMission.vue,0,,custom,missionTemplate | stats,non
SectionMissionTemplateBoxParticipation,components/section/mission-template/BoxParticipation.vue,0,,custom,missionTemplate | stats,non
SectionMissionTemplateBoxReseau,components/section/mission-template/BoxReseau.vue,0,,custom,missionTemplate,non
SectionMissionTemplateHeaderActions,components/section/mission-template/HeaderActions.vue,0,,custom,missionTemplate,non
SectionMissionActions,components/section/mission/Actions.vue,0,,custom,mission | buttonSize,non
SectionMissionBadges,components/section/mission/Badges.vue,0,,custom,mission,oui
SectionMissionBoxAideModeration,components/section/mission/BoxAideModeration.vue,0,,custom,mission | title,non
SectionMissionBoxDates,components/section/mission/BoxDates.vue,0,,custom,mission | title,non
SectionMissionBoxInformations,components/section/mission/BoxInformations.vue,0,,custom,mission | title,non
SectionMissionBoxOrganisation,components/section/mission/BoxOrganisation.vue,0,,custom,organisation,non
SectionMissionBoxPlace,components/section/mission/BoxPlace.vue,0,,custom,mission,non
SectionMissionDetails,components/section/mission/Details.vue,0,,custom,mission,non
SectionMissionDisclosureModerationAI,components/section/mission/DisclosureModerationAI.vue,0,,custom,mission,non
SectionMissionDisclosureWarningWords,components/section/mission/DisclosureWarningWords.vue,0,,custom,mission,non
SectionMissionHeaderActions,components/section/mission/HeaderActions.vue,0,,custom,mission | missionStats,non
SectionMissionPresentation,components/section/mission/Presentation.vue,0,,custom,mission,non
SectionMissionPresentielOrDistance,components/section/mission/PresentielOrDistance.vue,0,,custom,mission,non
SectionMissionActivities,components/section/MissionActivities.vue,0,,custom,title | activities | redirectParameters,non
SectionMissionShareOverlay,components/section/MissionShareOverlay.vue,0,,custom,,non
SectionOrganisationActions,components/section/organisation/Actions.vue,0,,custom,organisation | buttonSize,non
SectionOrganisationBadges,components/section/organisation/Badges.vue,0,,custom,organisation,oui
SectionOrganisationBoxAideModeration,components/section/organisation/BoxAideModeration.vue,0,,custom,organisation | title,non
SectionOrganisationBoxDetails,components/section/organisation/BoxDetails.vue,0,,custom,organisation,non
SectionOrganisationBoxInformations,components/section/organisation/BoxInformations.vue,0,,custom,organisation | showTitle | boxVariant | boxPadding,non
SectionOrganisationBoxMission,components/section/organisation/BoxMission.vue,0,,custom,organisation | organisationStats,non
SectionOrganisationBoxParticipation,components/section/organisation/BoxParticipation.vue,0,,custom,organisation | organisationStats,non
SectionOrganisationBoxPresentation,components/section/organisation/BoxPresentation.vue,0,,custom,organisation,non
SectionOrganisationBoxReseau,components/section/organisation/BoxReseau.vue,0,,custom,reseau,non
SectionOrganisationBoxScore,components/section/organisation/BoxScore.vue,0,,custom,structureId | variant | padding,non
SectionOrganisationBoxScoreLight,components/section/organisation/BoxScoreLight.vue,0,,custom,structureId | showTitle | boxVariant | boxPadding,non
SectionOrganisationBoxUnsubscribedInformations,components/section/organisation/BoxUnsubscribedInformations.vue,0,,custom,organisation | showTitle | boxVariant | boxPadding,non
SectionOrganisationContact,components/section/organisation/Contact.vue,0,,custom,organisation,non
SectionOrganisationDetails,components/section/organisation/Details.vue,0,,custom,organisation | srcSet | redirectParameters,non
SectionOrganisationDisclosureModerationAI,components/section/organisation/DisclosureModerationAI.vue,0,,custom,organisation,non
SectionOrganisationDisclosureWarningWords,components/section/organisation/DisclosureWarningWords.vue,0,,custom,organisation,non
SectionOrganisationHeader,components/section/organisation/Header.vue,0,,custom,organisation,non
SectionOrganisationHeaderActions,components/section/organisation/HeaderActions.vue,0,,custom,organisation,non
SectionOrganisationLinkToCityAssociations,components/section/organisation/LinkToCityAssociations.vue,0,,custom,organisation,oui
SectionOrganisationPresentation,components/section/organisation/Presentation.vue,0,,custom,suffixTitle | organisation | srcSet | redirectParameters,non
SectionOrganisationScoreDetails,components/section/organisation/ScoreDetails.vue,0,,custom,score,non
SectionPartenairesEngagementSousToutesSesFormes,components/section/partenaires/EngagementSousToutesSesFormes.vue,1,pages/domaines-action/[slug].vue,custom,title | partenaires,non
SectionProfileActions,components/section/profile/Actions.vue,0,,custom,profile | buttonSize,non
SectionProfileBadges,components/section/profile/Badges.vue,0,,custom,profile,oui
SectionProfileBoxActions,components/section/profile/BoxActions.vue,0,,custom,profile | showAction | linkLabel | showTitle | boxVariant | boxPadding,non
SectionProfileBoxCompleteProfile,components/section/profile/BoxCompleteProfile.vue,0,,custom,title | showSteps,non
SectionProfileBoxDisponibilities,components/section/profile/BoxDisponibilities.vue,0,,custom,profile | showAction | linkAction | linkLabel | showTitle | boxVariant | boxPadding,non
SectionProfileBoxInformations,components/section/profile/BoxInformations.vue,0,,custom,profile | title | showAction | linkAction | linkLabel | showTitle | boxVariant | boxPadding,non
SectionProfileBoxOrganisations,components/section/profile/BoxOrganisations.vue,0,,custom,structures,non
SectionProfileBoxReseau,components/section/profile/BoxReseau.vue,0,,custom,reseau,non
SectionProfileBoxRoles,components/section/profile/BoxRoles.vue,0,,custom,roles,non
SectionProfileBoxTerritoires,components/section/profile/BoxTerritoires.vue,0,,custom,territoires,non
SectionProfileBoxUserAlertesActives,components/section/profile/BoxUserAlertesActives.vue,0,,custom,,oui
SectionProfileBoxUserBan,components/section/profile/BoxUserBan.vue,0,,custom,user,non
SectionProfileBoxUserFavoris,components/section/profile/BoxUserFavoris.vue,0,,custom,,non
SectionProfileBoxUserPendingActions,components/section/profile/BoxUserPendingActions.vue,0,,custom,,non
SectionProfileBoxUserProfileBenevole,components/section/profile/BoxUserProfileBenevole.vue,0,,custom,,non
SectionProfileBoxUserWaitingParticipations,components/section/profile/BoxUserWaitingParticipations.vue,0,,custom,,non
SectionProfileHeaderActions,components/section/profile/HeaderActions.vue,0,,custom,profile,non
SectionProfileOverlayCompletionActivities,components/section/profile/OverlayCompletion/Activities.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,non
SectionProfileOverlayCompletionDisponibilities,components/section/profile/OverlayCompletion/Disponibilities.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,non
SectionProfileOverlayCompletion,components/section/profile/OverlayCompletion/index.vue,0,,custom,,non
SectionProfileOverlayCompletionMissionType,components/section/profile/OverlayCompletion/MissionType.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,non
SectionProfileOverlayCompletionMoreAboutYou,components/section/profile/OverlayCompletion/MoreAboutYou.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,non
SectionProfileOverlayCompletionPicture,components/section/profile/OverlayCompletion/Picture.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,non
SectionProfileOverlayCompletionSkills,components/section/profile/OverlayCompletion/Skills.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,scrollContainer,non
SectionProfileOverlayCompletionStepSelection,components/section/profile/OverlayCompletion/StepSelection.vue,1,components/section/profile/OverlayCompletion/index.vue,custom,,oui
SectionProfileOverlayCompletionSubstep,components/section/profile/OverlayCompletion/Substep.vue,1,components/section/profile/OverlayCompletion/StepSelection.vue,custom,item,à discuter
SectionRejoignezLeMouvement,components/section/RejoignezLeMouvement.vue,1,pages/organisations/[slug].vue,custom,,non
SectionReseauActions,components/section/reseau/Actions.vue,0,,custom,reseau | buttonSize,non
SectionReseauBadges,components/section/reseau/Badges.vue,0,,custom,reseau,oui
SectionReseauBoxAntenne,components/section/reseau/BoxAntenne.vue,0,,custom,reseau | stats,non
SectionReseauBoxDetails,components/section/reseau/BoxDetails.vue,0,,custom,reseau,non
SectionReseauBoxInformations,components/section/reseau/BoxInformations.vue,0,,custom,reseau,non
SectionReseauBoxMission,components/section/reseau/BoxMission.vue,0,,custom,reseau | stats,non
SectionReseauBoxParticipation,components/section/reseau/BoxParticipation.vue,0,,custom,reseau | stats,non
SectionReseauBoxPresentation,components/section/reseau/BoxPresentation.vue,0,,custom,reseau,non
SectionReseauBreadcrumb,components/section/reseau/Breadcrumb.vue,0,,custom,reseau | items,oui
SectionReseauHeader,components/section/reseau/Header.vue,0,,custom,organisation,non
SectionReseauHeaderActions,components/section/reseau/HeaderActions.vue,0,,custom,reseau,non
SectionReseauModalAddReseauResponsable,components/section/reseau/ModalAddReseauResponsable.vue,0,,custom,isOpen | reseau,oui
SectionRessourceBoxInformations,components/section/ressource/BoxInformations.vue,0,,custom,ressource,non
SectionRessourceHeaderActions,components/section/ressource/HeaderActions.vue,0,,custom,resource,non
SectionSearchBlocFaq,components/section/search/BlocFaq.vue,1,pages/en-ce-moment.vue,custom,title,non
SectionSearchBlocFaqSearchOrganisations,components/section/search/BlocFaqSearchOrganisations.vue,0,,custom,title,non
SectionSearchDatesFilter,components/section/search/DatesFilter.vue,0,,custom,triggerId,non
SectionSearchDatesMobileFilter,components/section/search/DatesMobileFilter.vue,0,,custom,,non
SectionSearchFacetFilter,components/section/search/FacetFilter.vue,0,,custom,facetName | facets | label | showMoreLimit | showMore | legend | facetValueResolver,non
SectionSearchFacetFilterToggle,components/section/search/FacetFilterToggle.vue,0,,custom,facetName | label | legend | placeholder | facetValueResolver | triggerVariant | icon | triggerAttributes,oui
SectionSearchFacetOptionsFilter,components/section/search/FacetOptionsFilter.vue,0,,custom,modelValue | filterName | options | attributeKey | attributeLabel | label | showMoreLimit | showMore | legend | searchable,non
SectionSearchFacetSearch,components/section/search/FacetSearch.vue,0,,custom,modelValue | placeholder | icon | autocomplete | ariaLabelledby | ariaLabel | title | ariaExpanded | ariaActivedescendant | showClearButton | alwaysShowClear | clearLabel,non
SectionSearchIsOpenToMinors,components/section/search/IsOpenToMinors.vue,0,,custom,,non
SectionSearchIsOpenToMinorsMobileFilter,components/section/search/IsOpenToMinorsMobileFilter.vue,0,,custom,,non
SectionSearchMissionsAlgoliaMissions,components/section/search/missions/AlgoliaMissions.vue,0,,custom,indexKey | searchParameters | redirectParameters | origin,non
SectionSearchMissionsAlgoliaSearch,components/section/search/missions/AlgoliaSearch.vue,0,,custom,initialFilters | initialAroundRadius | secondaryFilters | initialHitsPerPage | initialAroundLatLng | noHeader | noFilters | noPagination | withSlideshowRemote | withSummary | paginationScrollTarget | paginationScrollOffset,non
SectionSearchMissionsAlgoliaSearchSkeleton,components/section/search/missions/AlgoliaSearchSkeleton.vue,0,,custom,,non
SectionSearchMissionsAlgoliaSlideshowMissions,components/section/search/missions/AlgoliaSlideshowMissions.vue,0,,custom,searchParameters | ariaLabelledby | ariaLabel | dotsVariant | navigationId | navigationButtonClass | navigationVariant | bleed | tagTitle,non
SectionSearchMissionsBlocSlideshowRemote,components/section/search/missions/BlocSlideshowRemote.vue,0,,custom,scrollToId,non
SectionSearchMissionsGridResults,components/section/search/missions/GridResults.vue,0,,custom,hits,non
SectionSearchMissionsMobileFilters,components/section/search/missions/MobileFilters.vue,0,,custom,,non
SectionSearchMissionsPrimaryFilters,components/section/search/missions/PrimaryFilters.vue,0,,custom,,non
SectionSearchMissionsSecondaryFilters,components/section/search/missions/SecondaryFilters.vue,0,,custom,filtersName,non
SectionSearchNumericFilter,components/section/search/NumericFilter.vue,0,,custom,attributeName | operand | inputLabel,non
SectionSearchNumericFilterToggle,components/section/search/NumericFilterToggle.vue,0,,custom,attributeName | inputLabel | triggerLabel | triggerId | triggerVariant | legend | operand | panelAriaLabel | min,oui
SectionSearchOrganisationsAlgoliaOrganisations,components/section/search/organisations/AlgoliaOrganisations.vue,0,,custom,component | componentProps | searchParameters | itemClass,non
SectionSearchOrganisationsAlgoliaSearch,components/section/search/organisations/AlgoliaSearch.vue,0,,custom,initialFilters | secondaryFilters,non
SectionSearchOrganisationsMobileFilters,components/section/search/organisations/MobileFilters.vue,0,,custom,,non
SectionSearchOrganisationsPrimaryFilters,components/section/search/organisations/PrimaryFilters.vue,0,,custom,,non
SectionSearchOrganisationsSecondaryFilters,components/section/search/organisations/SecondaryFilters.vue,0,,custom,filtersName,non
SectionSearchPonctualFilter,components/section/search/PonctualFilter.vue,0,,custom,,non
SectionSearchPonctualMobileFilter,components/section/search/PonctualMobileFilter.vue,0,,custom,,non
SectionSearchRadiosFilter,components/section/search/RadiosFilter.vue,0,,custom,name | legend | options,à discuter
