nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
CardParticipationBenevole,components/card/CardParticipationBenevole.vue,1,components/section/profile/BoxUserWaitingParticipations.vue,custom,participation | showTags | to,à discuter
CardQuote,components/card/CardQuote.vue,1,components/pages/homepage/components/BlocTemoignages.vue,custom,quote,à discuter
CardTemplate,components/card/CardTemplate.vue,1,pages/admin/organisations/[id]/missions/add.vue,custom,template | isSelected,à discuter
CardTemplatePreview,components/card/CardTemplatePreview.vue,1,pages/admin/organisations/[id]/missions/add.vue,custom,template,à discuter
CardTestimonyFooter,components/card/CardTestimony/Footer.vue,0,,custom,benevole | organisation,à discuter
CardTestimonyImgQuote,components/card/CardTestimony/ImgQuote.vue,0,,custom,,à discuter
CardTestimony,components/card/CardTestimony/index.vue,1,components/section/SectionTemoignages.vue,custom,testimony,à discuter
ChartBarChart,components/chart/BarChart.vue,0,,custom,chartId | chartTitle | datasetIdKey | width | height | cssClasses | styles | plugins | chartData | chartOptions,non
ChartDoughnutChart,components/chart/DoughnutChart.vue,0,,custom,chartId | chartTitle | datasetIdKey | width | height | cssClasses | styles | plugins | chartData | chartOptions,non
ChartGaugeChart,components/chart/GaugeChart.vue,0,,custom,chartId | value | max | chartOptions | width | height | cssClasses | styles | plugins,non
ConversationContextualMessage,components/conversation/ContextualMessage.vue,0,,custom,message,non
CustomAlertFilledByProfile,components/custom/AlertFilledByProfile.vue,1,pages/profile/alertes/index.vue,custom,,oui
CustomBatchDialog,components/custom/BatchDialog.vue,0,,custom,isOpen | title | text | theme | confirmLabel | closeLabel | cancelLabel | batchEndpoint,oui
CustomBoxHeadingStatistics,components/custom/BoxHeadingStatistics.vue,0,,custom,title | tagTitle | subtitle | noPeriod | noParams | link | infosBulle,oui
CustomBoxNotes,components/custom/BoxNotes.vue,0,,custom,notableType | notableId,non
CustomButtonCreateMission,components/custom/ButtonCreateMission.vue,0,,custom,size,oui
CustomButtonJeProposeMonAide,components/custom/ButtonJeProposeMonAide.vue,0,,custom,mission | type | size | disabled | label,oui
CustomButtonJeProposeMonAideApiEngagement,components/custom/ButtonJeProposeMonAideApiEngagement.vue,0,,custom,url,oui
CustomButtonMissionWaitingList,components/custom/ButtonMissionWaitingList.vue,1,pages/missions-benevolat/[id]/[slug].vue,custom,mission | size,oui
CustomButtonSelectMessageTemplate,components/custom/ButtonSelectMessageTemplate.vue,0,,custom,,oui
CustomButtonsSubmitFormMission,components/custom/ButtonsSubmitFormMission.vue,0,,custom,mission | structure | templateId | loading,oui
CustomButtonsSubmitFormMissionTemplate,components/custom/ButtonsSubmitFormMissionTemplate.vue,0,,custom,missionTemplate | loading,oui
CustomChipList,components/custom/ChipList.vue,0,,custom,modelValue | options | chipClass | legend,non
CustomDateDisplay,components/custom/DateDisplay.vue,1,components/custom/MissionNextDates.vue,custom,unixDate,non
CustomDropdownUserNotifications,components/custom/DropdownUserNotifications.vue,1,components/section/header/DesktopPrimaryNavigation.vue,custom,,non
CustomDropdownUserSwitchRole,components/custom/DropdownUserSwitchRole.vue,0,,custom,,oui
CustomEmptyStateButtons,components/custom/EmptyStateButtons.vue,0,,custom,label | legend,oui
CustomFranceConnect,components/custom/FranceConnect.vue,1,pages/login.vue,wrapper_dsfr,theme,non
CustomInputActionBuilder,components/custom/InputActionBuilder.vue,0,,custom,actionFieldOptions | modelValue,oui
CustomInputQueryBuilder,components/custom/InputQueryBuilder.vue,0,,custom,conditionFieldOptions | modelValue,oui
CustomLinkPhoneNumber,components/custom/LinkPhoneNumber.vue,0,,custom,phoneNumber,oui
CustomListItemCount,components/custom/ListItemCount.vue,0,,custom,size | color | label | display | count | total,non
CustomMetatags,components/custom/Metatags.vue,0,,custom,metas | placeholders,oui
CustomMissionApiPage,components/custom/MissionApiPage.vue,0,,custom,mission,non
CustomMissionNextDates,components/custom/MissionNextDates.vue,1,components/card/CardMissionFull.vue,custom,mission,non
CustomMissionPreviewItem,components/custom/MissionPreviewItem.vue,1,components/layout/SidebarFormMission.vue,custom,title | isCurrent | isDisabled | isCompleted | isWarning | hasSuggestions,non
CustomModelChipList,components/custom/ModelChipList.vue,0,,custom,modelValue | options | modelType | chipClass | legend,non
CustomOnlineIndicator,components/custom/OnlineIndicator.vue,0,,custom,published | publishedLabel | unpublishedLabel,non
CustomParticipationBenevoleActions,components/custom/ParticipationBenevoleActions.vue,0,,custom,participation,non
CustomPercentageVariation,components/custom/PercentageVariation.vue,0,,custom,value,oui
CustomPortraitsRandom,components/custom/PortraitsRandom.vue,0,,custom,count,non
CustomPrerequisitesInput,components/custom/PrerequisitesInput.vue,0,,custom,initialValue,oui
CustomQueryResultSummary,components/custom/QueryResultSummary.vue,0,,custom,from | to | loading | total,à discuter
CustomReadMore,components/custom/ReadMore.vue,0,,custom,moreClass | moreStr | lessStr | text | maxChars | as,non
CustomSearchFilters,components/custom/SearchFilters.vue,1,pages/admin/other/invitations.vue,custom,,non
CustomSelectAdvancedMessageTemplate,components/custom/SelectAdvancedMessageTemplate.vue,0,,custom,conversableType | conversable,oui
CustomSelectMissionState,components/custom/SelectMissionState.vue,0,,custom,mission | missionStats,oui
CustomSelectMissionTemplateState,components/custom/SelectMissionTemplateState.vue,0,,custom,modelValue,oui
CustomSelectOrganisationState,components/custom/SelectOrganisationState.vue,0,,custom,organisation,oui
CustomSelectParticipationState,components/custom/SelectParticipationState.vue,0,,custom,modelValue | participation | size,oui
CustomSelectTerritoireState,components/custom/SelectTerritoireState.vue,0,,custom,modelValue,oui
CustomTodoListItem,components/custom/TodoListItem.vue,1,components/section/profile/BoxCompleteProfile.vue,custom,isCompleted,non
CustomUploadTriggerProfilePicture,components/custom/UploadTriggerProfilePicture.vue,1,components/form/FormUserProfile.vue,custom,label | title | previewSrcset,non
CustomUserProfileTabs,components/custom/UserProfileTabs.vue,0,,custom,selectedTabKey,oui
DrawerActivity,components/drawer/DrawerActivity.vue,1,pages/admin/contenus/activites/index.vue,custom,activityId,non
DrawerConversationBenevole,components/drawer/DrawerConversationBenevole.vue,0,,custom,profileId | conversationId,non
DrawerDomaine,components/drawer/DrawerDomaine.vue,1,pages/admin/contenus/domaines/index.vue,custom,domaineId,non
DrawerMissionTemplate,components/drawer/DrawerMissionTemplate.vue,1,pages/admin/contenus/modeles-mission/index.vue,custom,missionTemplateId,non
DrawerNotification,components/drawer/DrawerNotification.vue,1,pages/admin/settings/emails.vue,custom,notificationKey | notificationLabel | notificationDescription | notificationTags | notificationVariants | selectedVariantKey,non
DrawerOrganisation,components/drawer/DrawerOrganisation.vue,0,,custom,organisationId,non
DrawerParticipation,components/drawer/DrawerParticipation.vue,1,pages/admin/participations/index.vue,custom,participationId,non
DrawerReseau,components/drawer/DrawerReseau.vue,1,pages/admin/contenus/reseaux/index.vue,custom,reseauId,non
